property_type_id,propertyType,zoning,bedrooms,bathrooms,squareFootage,lotSize,ownerOccupied
92,Single Family,Unknown,4.0,3.0,2615.0,12763.0,1.0
93,Single Family,Unknown,3.0,2.0,1486.0,7649.0,1.0
94,Single Family,SE,4.0,2.5,2032.0,40075.0,1.0
95,Single Family,Unknown,5.0,4.0,3985.0,9112.0,1.0
96,Single Family,Unknown,3.0,2.5,2256.0,12626.0,1.0
97,Single Family,Unknown,4.0,2.0,1750.0,6534.0,1.0
98,Single Family,Unknown,3.0,1.5,1059.0,6008.0,0.0
99,Condo,Unknown,3.0,3.5,2444.0,1307.0,1.0
100,Single Family,Unknown,0.0,2.0,1380.0,11761.0,1.0
101,Single Family,R-MF,3.0,1.0,924.0,0.0,0.0
102,Single Family,SF 5000,2.0,2.0,2100.0,6600.0,1.0
103,Single Family,Unknown,5.0,3.0,6130.0,7897.0,1.0
104,Single Family,P-D,3.0,2.0,1632.0,13558.0,1.0
105,Single Family,Unknown,3.0,3.0,1458.0,3833.0,0.0
106,Single Family,R5(35),2.0,1.0,1109.0,4859.0,0.0
107,Single Family,Unknown,4.0,2.0,1920.0,7841.0,1.0
108,Single Family,Unknown,2.0,2.0,1768.0,6250.0,1.0
109,Single Family,Unknown,0.0,0.0,672.0,6973520.0,0.0
110,Apartment,Unknown,0.0,0.0,0.0,0.0,0.0
111,Single Family,Unknown,3.0,2.0,2007.0,9596.0,1.0
112,Single Family,1212,4.0,3.0,2208.0,25700.0,1.0
113,Land,COMMERCIAL,0.0,1.0,0.0,7625.0,0.0
114,Townhouse,KRPU,2.0,2.0,1512.0,2520.0,1.0
115,Apartment,Unknown,2.0,2.0,925.0,0.0,0.0
116,Condo,R3,2.0,1.0,1235.0,1742.0,1.0
117,Condo,R4,2.0,2.0,1028.0,0.0,0.0
118,Single Family,Unknown,4.0,2.5,2317.0,37984.0,1.0
119,Single Family,Unknown,3.0,1.0,1300.0,9590.0,1.0
120,Single Family,R10,3.0,1.0,959.0,19166.0,1.0
121,Single Family,RLD-60,4.0,2.0,1808.0,7954.0,1.0
122,Single Family,Unknown,3.0,1.0,996.0,0.0,1.0
123,Condo,Unknown,3.0,3.5,0.0,0.0,0.0
124,Single Family,R1,3.0,2.0,1071.0,5663.0,1.0
125,Single Family,R4,5.0,2.0,2472.0,5611.0,1.0
126,Condo,Unknown,2.0,1.0,1122.0,1440.0,0.0
127,Single Family,Unknown,0.0,0.0,860.0,87120.0,1.0
128,Duplex-Triplex,R-6 SINGLE FAMILY ATTACHE,4.0,3.0,3087.0,2840.0,0.0
129,Apartment,Unknown,2.0,2.0,1046.0,0.0,0.0
130,Single Family,Unknown,3.0,2.5,2088.0,2088.0,0.0
131,Single Family,R1,3.0,1.5,1272.0,17402.0,1.0
132,Single Family,PD-R,4.0,2.5,1720.0,8712.0,1.0
133,Single Family,RCH,4.0,2.0,1482.0,8712.0,0.0
134,Townhouse,Unknown,2.0,2.5,0.0,0.0,0.0
135,Condo,RAC-EMU,2.0,2.0,1100.0,0.0,1.0
136,Single Family,Unknown,0.0,0.0,0.0,0.0,0.0
137,Single Family,Unknown,6.0,3.0,3023.0,14375.0,1.0
138,Condo,6401:COMMERCIAL,3.0,2.0,1792.0,0.0,1.0
139,Single Family,Unknown,4.0,2.0,2124.0,6011.0,1.0
140,Single Family,Unknown,5.0,4.5,3764.0,7344.0,1.0
141,Single Family,Unknown,2.0,1.0,875.0,7013.0,0.0
142,Condo,E,0.0,1.0,1117.0,0.0,1.0
143,Single Family,Unknown,0.0,0.0,3052.0,13504.0,1.0
144,Single Family,Unknown,3.0,2.5,1557.0,2614.0,1.0
145,Single Family,Unknown,5.0,4.5,5710.0,10759.0,0.0
146,Single Family,Unknown,3.0,2.0,1759.0,6050.0,1.0
147,Single Family,Unknown,0.0,2.5,2286.0,7221.0,1.0
148,Single Family,Unknown,2.0,2.0,2117.0,178901.0,0.0
149,Manufactured,Unknown,3.0,2.0,1644.0,107158.0,0.0
150,Single Family,Unknown,3.0,2.0,1295.0,5175.0,0.0
151,Apartment,Unknown,1.0,1.0,1085.0,0.0,0.0
152,Single Family,Unknown,4.0,1.0,2067.0,9570.0,0.0
153,Single Family,RS5,4.0,3.0,2468.0,5760.0,0.0
154,Single Family,Unknown,5.0,2.0,2080.0,11635.0,0.0
155,Duplex-Triplex,Unknown,3.0,1.0,1282.0,14700.0,0.0
156,Single Family,Unknown,2.0,1.0,880.0,7000.0,1.0
157,Single Family,RSF65,3.0,3.5,1678.0,8352.0,1.0
158,Single Family,SCSP,3.0,3.0,2363.0,6631.0,1.0
159,Townhouse,Unknown,2.0,2.0,1168.0,0.0,0.0
160,Manufactured,Unknown,2.0,2.5,1404.0,0.0,1.0
161,Single Family,R4,4.0,1.0,2080.0,11500.0,1.0
162,Single Family,R1,0.0,1.0,1270.0,6098.0,1.0
163,Single Family,Z237,3.0,2.0,1665.0,8060.0,0.0
164,Single Family,Unknown,5.0,3.0,2958.0,6578.0,0.0
165,Single Family,Unknown,4.0,2.0,2518.0,7500.0,0.0
166,Single Family,Unknown,3.0,3.0,1903.0,18000.0,1.0
167,Single Family,Unknown,3.0,2.0,1496.0,5493.0,0.0
168,Condo,RM1,3.0,1.0,1202.0,1281.0,1.0
169,Condo,Unknown,0.0,0.0,0.0,0.0,0.0
170,Single Family,Unknown,2.0,1.0,798.0,3485.0,0.0
171,Single Family,Unknown,6.0,3.5,3891.0,10219.0,1.0
172,Apartment,Unknown,3.0,2.0,1728.0,0.0,0.0
173,Single Family,Unknown,3.0,2.0,2390.0,14357.0,1.0
174,Single Family,01-SINGLE FAMILY,2.0,2.0,950.0,7000.0,1.0
175,Single Family,Unknown,3.0,1.0,1080.0,12197.0,1.0
176,Single Family,Unknown,4.0,2.0,2068.0,7479.0,1.0
177,Single Family,Unknown,3.0,1.0,2134.0,7500.0,1.0
178,Single Family,Unknown,3.0,2.0,1889.0,15000.0,1.0
179,Condo,Unknown,2.0,1.5,1270.0,0.0,1.0
180,Single Family,Unknown,3.0,1.0,1120.0,5924160.0,0.0
181,Condo,Unknown,0.0,0.0,1252.0,0.0,1.0
182,Condo,RSA5,4.0,1.0,1416.0,683.0,0.0
183,Single Family,R-70,0.0,5.0,4658.0,52800.0,0.0
184,Single Family,RL-3,5.0,4.0,3192.0,5053.0,1.0
185,Condo,Unknown,0.0,2.5,1956.0,3856.0,1.0
186,Single Family,R1,3.0,2.0,1530.0,5001.0,1.0
187,Single Family,NOR1YY,2.0,1.0,941.0,2600.0,1.0
188,Single Family,Unknown,2.0,1.0,1068.0,3125.0,0.0
189,Single Family,Unknown,4.0,3.5,4118.0,10275.0,1.0
190,Single Family,Unknown,4.0,3.0,1248.0,8750.0,1.0
191,Single Family,R1,2.0,1.0,936.0,14810.0,1.0
192,Single Family,Unknown,3.0,2.0,1958.0,28012.0,1.0
193,Single Family,R-5,4.0,2.5,2409.0,2769.0,1.0
194,Single Family,R2,3.0,2.5,2572.0,11751.0,0.0
195,Single Family,RS3,0.0,5.0,5650.0,14810.0,1.0
196,Single Family,PAD,0.0,3.0,2335.0,9796.0,1.0
197,Condo,Unknown,2.0,2.5,1296.0,0.0,1.0
198,Single Family,Unknown,0.0,0.0,0.0,0.0,1.0
199,Land,Unknown,3.0,2.0,1003.0,6534.0,0.0
200,Condo,"3800:MULTI-FAM,22-37 U/A",2.0,2.0,763.0,185256.0,1.0
201,Single Family,ZO01,2.0,1.0,1157.0,13199.0,1.0
202,Single Family,Unknown,3.0,2.0,1056.0,34412.0,0.0
203,Single Family,S1,4.0,2.5,1641.0,10454.0,1.0
204,Single Family,Unknown,4.0,3.5,3324.0,16988.0,0.0
205,Single Family,Unknown,3.0,2.0,1456.0,5998.0,1.0
206,Single Family,Unknown,0.0,2.0,2758.0,20280.0,1.0
207,Single Family,R-2,3.0,1.0,1319.0,15246.0,1.0
208,Single Family,Unknown,5.0,5.5,4213.0,12197.0,1.0
209,Single Family,Unknown,5.0,3.5,2985.0,12197.0,0.0
210,Single Family,9 R-M MULTIPLE RESIDENTIA,4.0,2.5,1510.0,12724.0,0.0
211,Single Family,Unknown,3.0,2.0,1680.0,6900.0,1.0
212,Apartment,Unknown,2.0,2.0,5240.0,0.0,0.0
213,Single Family,Unknown,4.0,3.5,3128.0,9265.0,1.0
214,Duplex-Triplex,R-3,0.0,0.0,1999.0,9143.0,0.0
215,Single Family,Unknown,0.0,0.0,1826.0,7125.0,1.0
216,Single Family,Unknown,2.0,1.0,1050.0,7876.0,1.0
217,Apartment,RA1,0.0,0.0,9890.0,11195.0,0.0
