property_type_id,propertyType,zoning,bedrooms,bathrooms,squareFootage,lotSize,ownerOccupied
398,Single Family,"5700:DUPLEXES,GENERAL",2.0,2.5,1208.0,867.0,1.0
399,Single Family,R4,3.0,3.0,1528.0,7437.0,1.0
400,Single Family,Unknown,3.0,2.0,1496.0,5358.0,1.0
401,Single Family,Unknown,2.0,1.0,1376.0,3049.0,1.0
402,Single Family,R1B,0.0,1.0,1001.0,9583.0,1.0
403,Single Family,Z315,3.0,2.0,1632.0,7787.0,1.0
404,Single Family,Unknown,3.0,2.0,1477.0,15125.0,0.0
405,Single Family,R1A,0.0,1.0,1308.0,152460.0,0.0
406,Single Family,R-12,5.0,2.0,2054.0,10742.0,0.0
407,Single Family,Unknown,3.0,1.5,2520.0,42994.0,1.0
408,Single Family,P-D,3.0,2.0,1406.0,6803.0,1.0
409,Condo,Unknown,1.0,1.0,778.0,0.0,1.0
410,Single Family,Unknown,3.0,3.5,2034.0,1520.0,1.0
